05978	奸	CJK UNIFIED IDEOGRAPH-5978
07d68	絨	CJK UNIFIED IDEOGRAPH-7D68
08085	肅	CJK UNIFIED IDEOGRAPH-8085
0609b	悛	CJK UNIFIED IDEOGRAPH-609B
05bb4	宴	CJK UNIFIED IDEOGRAPH-5BB4
05e19	帙	CJK UNIFIED IDEOGRAPH-5E19
0890a	褊	CJK UNIFIED IDEOGRAPH-890A
07c3d	簽	CJK UNIFIED IDEOGRAPH-7C3D
08913	褓	CJK UNIFIED IDEOGRAPH-8913
09c3a	鰺	CJK UNIFIED IDEOGRAPH-9C3A
09dc6	鷆	CJK UNIFIED IDEOGRAPH-9DC6
07dba	綺	CJK UNIFIED IDEOGRAPH-7DBA
0690d	植	CJK UNIFIED IDEOGRAPH-690D
05b57	字	CJK UNIFIED IDEOGRAPH-5B57
05589	喉	CJK UNIFIED IDEOGRAPH-5589
05b43	孃	CJK UNIFIED IDEOGRAPH-5B43
05edd	廝	CJK UNIFIED IDEOGRAPH-5EDD
0808c	肌	CJK UNIFIED IDEOGRAPH-808C
06094	悔	CJK UNIFIED IDEOGRAPH-6094
08907	複	CJK UNIFIED IDEOGRAPH-8907
09c2e	鰮	CJK UNIFIED IDEOGRAPH-9C2E
09db2	鶲	CJK UNIFIED IDEOGRAPH-9DB2
04f0a	伊	CJK UNIFIED IDEOGRAPH-4F0A
05e25	帥	CJK UNIFIED IDEOGRAPH-5E25
08734	蜴	CJK UNIFIED IDEOGRAPH-8734
080cc	背	CJK UNIFIED IDEOGRAPH-80CC
093a7	鎧	CJK UNIFIED IDEOGRAPH-93A7
060b4	悴	CJK UNIFIED IDEOGRAPH-60B4
0672c	本	CJK UNIFIED IDEOGRAPH-672C
08052	聒	CJK UNIFIED IDEOGRAPH-8052
05b9b	宛	CJK UNIFIED IDEOGRAPH-5B9B
05b8f	宏	CJK UNIFIED IDEOGRAPH-5B8F
052fe	勾	CJK UNIFIED IDEOGRAPH-52FE
0605a	恚	CJK UNIFIED IDEOGRAPH-605A
07d9a	続	CJK UNIFIED IDEOGRAPH-7D9A
07375	獵	CJK UNIFIED IDEOGRAPH-7375
08046	聆	CJK UNIFIED IDEOGRAPH-8046
05204	刄	CJK UNIFIED IDEOGRAPH-5204
0873b	蜻	CJK UNIFIED IDEOGRAPH-873B
08708	蜈	CJK UNIFIED IDEOGRAPH-8708
06043	恃	CJK UNIFIED IDEOGRAPH-6043
067dd	柝	CJK UNIFIED IDEOGRAPH-67DD
074f0	瓰	CJK UNIFIED IDEOGRAPH-74F0
05b80	宀	CJK UNIFIED IDEOGRAPH-5B80
052f3	勳	CJK UNIFIED IDEOGRAPH-52F3
05238	券	CJK UNIFIED IDEOGRAPH-5238
0520b	刋	CJK UNIFIED IDEOGRAPH-520B
080b1	肱	CJK UNIFIED IDEOGRAPH-80B1
06731	朱	CJK UNIFIED IDEOGRAPH-6731
06876	桶	CJK UNIFIED IDEOGRAPH-6876
07b5d	筝	CJK UNIFIED IDEOGRAPH-7B5D
08ff0	述	CJK UNIFIED IDEOGRAPH-8FF0
0669d	暝	CJK UNIFIED IDEOGRAPH-669D
09edd	黝	CJK UNIFIED IDEOGRAPH-9EDD
09b43	魃	CJK UNIFIED IDEOGRAPH-9B43
05d4c	嵌	CJK UNIFIED IDEOGRAPH-5D4C
06aaa	檪	CJK UNIFIED IDEOGRAPH-6AAA
09ba8	鮨	CJK UNIFIED IDEOGRAPH-9BA8
08f0a	輊	CJK UNIFIED IDEOGRAPH-8F0A
07e3b	縻	CJK UNIFIED IDEOGRAPH-7E3B
06f02	漂	CJK UNIFIED IDEOGRAPH-6F02
088a4	袤	CJK UNIFIED IDEOGRAPH-88A4
09bcf	鯏	CJK UNIFIED IDEOGRAPH-9BCF
07bb1	箱	CJK UNIFIED IDEOGRAPH-7BB1
068c9	棉	CJK UNIFIED IDEOGRAPH-68C9
05c3a	尺	CJK UNIFIED IDEOGRAPH-5C3A
05ce0	峠	CJK UNIFIED IDEOGRAPH-5CE0
08a7c	詼	CJK UNIFIED IDEOGRAPH-8A7C
09589	閉	CJK UNIFIED IDEOGRAPH-9589
0887e	衾	CJK UNIFIED IDEOGRAPH-887E
07b52	筒	CJK UNIFIED IDEOGRAPH-7B52
09ed2	黒	CJK UNIFIED IDEOGRAPH-9ED2
06a7f	橿	CJK UNIFIED IDEOGRAPH-6A7F
09b4e	魎	CJK UNIFIED IDEOGRAPH-9B4E
09bb4	鮴	CJK UNIFIED IDEOGRAPH-9BB4
07bcc	篌	CJK UNIFIED IDEOGRAPH-7BCC
05dbd	嶽	CJK UNIFIED IDEOGRAPH-5DBD
09bc0	鯀	CJK UNIFIED IDEOGRAPH-9BC0
088ab	被	CJK UNIFIED IDEOGRAPH-88AB
08aad	読	CJK UNIFIED IDEOGRAPH-8AAD
08f13	輓	CJK UNIFIED IDEOGRAPH-8F13
07b46	筆	CJK UNIFIED IDEOGRAPH-7B46
06a58	橘	CJK UNIFIED IDEOGRAPH-6A58
09b5a	魚	CJK UNIFIED IDEOGRAPH-9B5A
05cef	峯	CJK UNIFIED IDEOGRAPH-5CEF
054e9	哩	CJK UNIFIED IDEOGRAPH-54E9
092f3	鋳	CJK UNIFIED IDEOGRAPH-92F3
07573	畳	CJK UNIFIED IDEOGRAPH-7573
075ab	疫	CJK UNIFIED IDEOGRAPH-75AB
075b8	疸	CJK UNIFIED IDEOGRAPH-75B8
086ce	蛎	CJK UNIFIED IDEOGRAPH-86CE
07567	畧	CJK UNIFIED IDEOGRAPH-7567
08654	虔	CJK UNIFIED IDEOGRAPH-8654
05d9d	嶝	CJK UNIFIED IDEOGRAPH-5D9D
05370	印	CJK UNIFIED IDEOGRAPH-5370
081d1	臑	CJK UNIFIED IDEOGRAPH-81D1
05358	単	CJK UNIFIED IDEOGRAPH-5358
0540d	名	CJK UNIFIED IDEOGRAPH-540D
0537f	卿	CJK UNIFIED IDEOGRAPH-537F
081e5	臥	CJK UNIFIED IDEOGRAPH-81E5
0756a	番	CJK UNIFIED IDEOGRAPH-756A
079c1	私	CJK UNIFIED IDEOGRAPH-79C1
06cb9	油	CJK UNIFIED IDEOGRAPH-6CB9
0582a	堪	CJK UNIFIED IDEOGRAPH-582A
05ad6	嫖	CJK UNIFIED IDEOGRAPH-5AD6
05f4a	彊	CJK UNIFIED IDEOGRAPH-5F4A
06c72	汲	CJK UNIFIED IDEOGRAPH-6C72
06dfa	淺	CJK UNIFIED IDEOGRAPH-6DFA
08c7a	豺	CJK UNIFIED IDEOGRAPH-8C7A
04e71	乱	CJK UNIFIED IDEOGRAPH-4E71
058e4	壤	CJK UNIFIED IDEOGRAPH-58E4
05a3c	娼	CJK UNIFIED IDEOGRAPH-5A3C
05a09	娉	CJK UNIFIED IDEOGRAPH-5A09
08ca0	負	CJK UNIFIED IDEOGRAPH-8CA0
08d05	贅	CJK UNIFIED IDEOGRAPH-8D05
08cc8	賈	CJK UNIFIED IDEOGRAPH-8CC8
06d1b	洛	CJK UNIFIED IDEOGRAPH-6D1B
07956	祖	CJK UNIFIED IDEOGRAPH-7956
06c7d	汽	CJK UNIFIED IDEOGRAPH-6C7D
058df	壟	CJK UNIFIED IDEOGRAPH-58DF
05199	写	CJK UNIFIED IDEOGRAPH-5199
05f53	当	CJK UNIFIED IDEOGRAPH-5F53
06df7	混	CJK UNIFIED IDEOGRAPH-6DF7
0849c	蒜	CJK UNIFIED IDEOGRAPH-849C
099c4	駄	CJK UNIFIED IDEOGRAPH-99C4
08caf	貯	CJK UNIFIED IDEOGRAPH-8CAF
05a35	娵	CJK UNIFIED IDEOGRAPH-5A35
04ea6	亦	CJK UNIFIED IDEOGRAPH-4EA6
06309	按	CJK UNIFIED IDEOGRAPH-6309
084bc	蒼	CJK UNIFIED IDEOGRAPH-84BC
056fa	固	CJK UNIFIED IDEOGRAPH-56FA
05f8b	律	CJK UNIFIED IDEOGRAPH-5F8B
07765	睥	CJK UNIFIED IDEOGRAPH-7765
063d6	揖	CJK UNIFIED IDEOGRAPH-63D6
09748	靈	CJK UNIFIED IDEOGRAPH-9748
0901d	逝	CJK UNIFIED IDEOGRAPH-901D
064b0	撰	CJK UNIFIED IDEOGRAPH-64B0
097a3	鞣	CJK UNIFIED IDEOGRAPH-97A3
051ac	冬	CJK UNIFIED IDEOGRAPH-51AC
05614	嘔	CJK UNIFIED IDEOGRAPH-5614
09006	逆	CJK UNIFIED IDEOGRAPH-9006
0701a	瀚	CJK UNIFIED IDEOGRAPH-701A
08318	茘	CJK UNIFIED IDEOGRAPH-8318
0832b	茫	CJK UNIFIED IDEOGRAPH-832B
05f84	径	CJK UNIFIED IDEOGRAPH-5F84
083d3	菓	CJK UNIFIED IDEOGRAPH-83D3
09760	靠	CJK UNIFIED IDEOGRAPH-9760
07981	禁	CJK UNIFIED IDEOGRAPH-7981
06c99	沙	CJK UNIFIED IDEOGRAPH-6C99
09774	靴	CJK UNIFIED IDEOGRAPH-9774
05f90	徐	CJK UNIFIED IDEOGRAPH-5F90
051a5	冥	CJK UNIFIED IDEOGRAPH-51A5
0561b	嘛	CJK UNIFIED IDEOGRAPH-561B
084c1	蓁	CJK UNIFIED IDEOGRAPH-84C1
05f91	徑	CJK UNIFIED IDEOGRAPH-5F91
063da	揚	CJK UNIFIED IDEOGRAPH-63DA
07980	禀	CJK UNIFIED IDEOGRAPH-7980
0776b	睫	CJK UNIFIED IDEOGRAPH-776B
097ad	鞭	CJK UNIFIED IDEOGRAPH-97AD
09013	逓	CJK UNIFIED IDEOGRAPH-9013
05629	嘩	CJK UNIFIED IDEOGRAPH-5629
051a4	冤	CJK UNIFIED IDEOGRAPH-51A4
09761	靡	CJK UNIFIED IDEOGRAPH-9761
063ee	揮	CJK UNIFIED IDEOGRAPH-63EE
0844e	葎	CJK UNIFIED IDEOGRAPH-844E
0777f	睿	CJK UNIFIED IDEOGRAPH-777F
05f85	待	CJK UNIFIED IDEOGRAPH-5F85
0516a	兪	CJK UNIFIED IDEOGRAPH-516A
09749	靉	CJK UNIFIED IDEOGRAPH-9749
0977c	靼	CJK UNIFIED IDEOGRAPH-977C
0798f	福	CJK UNIFIED IDEOGRAPH-798F
08c89	貉	CJK UNIFIED IDEOGRAPH-8C89
08457	著	CJK UNIFIED IDEOGRAPH-8457
05173	关	CJK UNIFIED IDEOGRAPH-5173
08331	茱	CJK UNIFIED IDEOGRAPH-8331
0632f	振	CJK UNIFIED IDEOGRAPH-632F
0901e	逞	CJK UNIFIED IDEOGRAPH-901E
084bb	蒻	CJK UNIFIED IDEOGRAPH-84BB
064c5	擅	CJK UNIFIED IDEOGRAPH-64C5
06308	挈	CJK UNIFIED IDEOGRAPH-6308
05f8c	後	CJK UNIFIED IDEOGRAPH-5F8C
063e3	揣	CJK UNIFIED IDEOGRAPH-63E3
06c6a	汪	CJK UNIFIED IDEOGRAPH-6C6A
058f9	壹	CJK UNIFIED IDEOGRAPH-58F9
058ec	壬	CJK UNIFIED IDEOGRAPH-58EC
05fcc	忌	CJK UNIFIED IDEOGRAPH-5FCC
079bb	离	CJK UNIFIED IDEOGRAPH-79BB
099c5	駅	CJK UNIFIED IDEOGRAPH-99C5
08d10	贐	CJK UNIFIED IDEOGRAPH-8D10
06d29	洩	CJK UNIFIED IDEOGRAPH-6D29
08d04	贄	CJK UNIFIED IDEOGRAPH-8D04
05a20	娠	CJK UNIFIED IDEOGRAPH-5A20
04e58	乘	CJK UNIFIED IDEOGRAPH-4E58
08c62	豢	CJK UNIFIED IDEOGRAPH-8C62
06c7e	汾	CJK UNIFIED IDEOGRAPH-6C7E
07957	祗	CJK UNIFIED IDEOGRAPH-7957
05f5d	彝	CJK UNIFIED IDEOGRAPH-5F5D
05ae3	嫣	CJK UNIFIED IDEOGRAPH-5AE3
058e5	壥	CJK UNIFIED IDEOGRAPH-58E5
09952	饒	CJK UNIFIED IDEOGRAPH-9952
08494	蒔	CJK UNIFIED IDEOGRAPH-8494
08ca1	財	CJK UNIFIED IDEOGRAPH-8CA1
0583d	堽	CJK UNIFIED IDEOGRAPH-583D
05fc5	必	CJK UNIFIED IDEOGRAPH-5FC5
05a2f	娯	CJK UNIFIED IDEOGRAPH-5A2F
06cb8	沸	CJK UNIFIED IDEOGRAPH-6CB8
06cab	沫	CJK UNIFIED IDEOGRAPH-6CAB
079c0	秀	CJK UNIFIED IDEOGRAPH-79C0
08d0b	贋	CJK UNIFIED IDEOGRAPH-8D0B
08df3	跳	CJK UNIFIED IDEOGRAPH-8DF3
0795a	祚	CJK UNIFIED IDEOGRAPH-795A
06c73	汳	CJK UNIFIED IDEOGRAPH-6C73
05ad7	嫗	CJK UNIFIED IDEOGRAPH-5AD7
058d1	壑	CJK UNIFIED IDEOGRAPH-58D1
053a6	厦	CJK UNIFIED IDEOGRAPH-53A6
09211	鈑	CJK UNIFIED IDEOGRAPH-9211
066be	暾	CJK UNIFIED IDEOGRAPH-66BE
0813e	脾	CJK UNIFIED IDEOGRAPH-813E
0865c	虜	CJK UNIFIED IDEOGRAPH-865C
072f7	狷	CJK UNIFIED IDEOGRAPH-72F7
06644	晄	CJK UNIFIED IDEOGRAPH-6644
05d87	嶇	CJK UNIFIED IDEOGRAPH-5D87
086b6	蚶	CJK UNIFIED IDEOGRAPH-86B6
075a5	疥	CJK UNIFIED IDEOGRAPH-75A5
07228	爨	CJK UNIFIED IDEOGRAPH-7228
0721b	爛	CJK UNIFIED IDEOGRAPH-721B
0540e	后	CJK UNIFIED IDEOGRAPH-540E
095a0	閠	CJK UNIFIED IDEOGRAPH-95A0
086cd	蛍	CJK UNIFIED IDEOGRAPH-86CD
08133	脳	CJK UNIFIED IDEOGRAPH-8133
05371	危	CJK UNIFIED IDEOGRAPH-5371
08655	處	CJK UNIFIED IDEOGRAPH-8655
07566	畦	CJK UNIFIED IDEOGRAPH-7566
07b8b	箋	CJK UNIFIED IDEOGRAPH-7B8B
0664b	晋	CJK UNIFIED IDEOGRAPH-664B
07b9f	箟	CJK UNIFIED IDEOGRAPH-7B9F
081df	臟	CJK UNIFIED IDEOGRAPH-81DF
08899	袙	CJK UNIFIED IDEOGRAPH-8899
092f2	鋲	CJK UNIFIED IDEOGRAPH-92F2
0665f	晟	CJK UNIFIED IDEOGRAPH-665F
054e8	哨	CJK UNIFIED IDEOGRAPH-54E8
05403	吃	CJK UNIFIED IDEOGRAPH-5403
066c7	曇	CJK UNIFIED IDEOGRAPH-66C7
075b9	疹	CJK UNIFIED IDEOGRAPH-75B9
08f12	輒	CJK UNIFIED IDEOGRAPH-8F12
07e21	縡	CJK UNIFIED IDEOGRAPH-7E21
05d50	嵐	CJK UNIFIED IDEOGRAPH-5D50
08872	衲	CJK UNIFIED IDEOGRAPH-8872
06a59	橙	CJK UNIFIED IDEOGRAPH-6A59
06687	暇	CJK UNIFIED IDEOGRAPH-6687
09b4d	魍	CJK UNIFIED IDEOGRAPH-9B4D
08a60	詠	CJK UNIFIED IDEOGRAPH-8A60
05c22	尢	CJK UNIFIED IDEOGRAPH-5C22
07e35	縵	CJK UNIFIED IDEOGRAPH-7E35
07bcb	篋	CJK UNIFIED IDEOGRAPH-7BCB
068a0	梠	CJK UNIFIED IDEOGRAPH-68A0
08f1d	輝	CJK UNIFIED IDEOGRAPH-8F1D
08aa3	誣	CJK UNIFIED IDEOGRAPH-8AA3
0887d	衽	CJK UNIFIED IDEOGRAPH-887D
06863	档	CJK UNIFIED IDEOGRAPH-6863
08a48	詈	CJK UNIFIED IDEOGRAPH-8A48
05ce1	峡	CJK UNIFIED IDEOGRAPH-5CE1
05d4b	嵋	CJK UNIFIED IDEOGRAPH-5D4B
09b42	魂	CJK UNIFIED IDEOGRAPH-9B42
09ede	點	CJK UNIFIED IDEOGRAPH-9EDE
06877	桷	CJK UNIFIED IDEOGRAPH-6877
07e09	縉	CJK UNIFIED IDEOGRAPH-7E09
068af	梯	CJK UNIFIED IDEOGRAPH-68AF
07bc4	範	CJK UNIFIED IDEOGRAPH-7BC4
05c2d	尭	CJK UNIFIED IDEOGRAPH-5C2D
052f2	勲	CJK UNIFIED IDEOGRAPH-52F2
0737b	獻	CJK UNIFIED IDEOGRAPH-737B
0804a	聊	CJK UNIFIED IDEOGRAPH-804A
09403	鐃	CJK UNIFIED IDEOGRAPH-9403
05239	刹	CJK UNIFIED IDEOGRAPH-5239
060bc	悼	CJK UNIFIED IDEOGRAPH-60BC
060a9	悩	CJK UNIFIED IDEOGRAPH-60A9
080c4	胄	CJK UNIFIED IDEOGRAPH-80C4
08709	蜉	CJK UNIFIED IDEOGRAPH-8709
0805e	聞	CJK UNIFIED IDEOGRAPH-805E
074f1	瓱	CJK UNIFIED IDEOGRAPH-74F1
067de	柞	CJK UNIFIED IDEOGRAPH-67DE
06042	恂	CJK UNIFIED IDEOGRAPH-6042
05b95	宕	CJK UNIFIED IDEOGRAPH-5B95
067e7	柧	CJK UNIFIED IDEOGRAPH-67E7
09d87	鶇	CJK UNIFIED IDEOGRAPH-9D87
0936c	鍬	CJK UNIFIED IDEOGRAPH-936C
05563	啣	CJK UNIFIED IDEOGRAPH-5563
0673f	朿	CJK UNIFIED IDEOGRAPH-673F
0941a	鐚	CJK UNIFIED IDEOGRAPH-941A
0672b	末	CJK UNIFIED IDEOGRAPH-672B
060b5	悵	CJK UNIFIED IDEOGRAPH-60B5
07406	理	CJK UNIFIED IDEOGRAPH-7406
05211	刑	CJK UNIFIED IDEOGRAPH-5211
05b9c	宜	CJK UNIFIED IDEOGRAPH-5B9C
067d3	染	CJK UNIFIED IDEOGRAPH-67D3
0604d	恍	CJK UNIFIED IDEOGRAPH-604D
0808b	肋	CJK UNIFIED IDEOGRAPH-808B
0691a	椚	CJK UNIFIED IDEOGRAPH-691A
09c2d	鰭	CJK UNIFIED IDEOGRAPH-9C2D
0690e	椎	CJK UNIFIED IDEOGRAPH-690E
07c27	簧	CJK UNIFIED IDEOGRAPH-7C27
08912	褒	CJK UNIFIED IDEOGRAPH-8912
05e30	帰	CJK UNIFIED IDEOGRAPH-5E30
04f1d	伝	CJK UNIFIED IDEOGRAPH-4F1D
06081	悁	CJK UNIFIED IDEOGRAPH-6081
07cdf	糟	CJK UNIFIED IDEOGRAPH-7CDF
05ed3	廓	CJK UNIFIED IDEOGRAPH-5ED3
09d44	鵄	CJK UNIFIED IDEOGRAPH-9D44
08084	肄	CJK UNIFIED IDEOGRAPH-8084
07c3e	簾	CJK UNIFIED IDEOGRAPH-7C3E
05e2b	師	CJK UNIFIED IDEOGRAPH-5E2B
05bb5	宵	CJK UNIFIED IDEOGRAPH-5BB5
07c2a	簪	CJK UNIFIED IDEOGRAPH-7C2A
0891d	褝	CJK UNIFIED IDEOGRAPH-891D
09d50	鵐	CJK UNIFIED IDEOGRAPH-9D50
069fb	槻	CJK UNIFIED IDEOGRAPH-69FB
069e8	槨	CJK UNIFIED IDEOGRAPH-69E8
0761f	瘟	CJK UNIFIED IDEOGRAPH-761F
065ec	旬	CJK UNIFIED IDEOGRAPH-65EC
07f94	羔	CJK UNIFIED IDEOGRAPH-7F94
09173	酳	CJK UNIFIED IDEOGRAPH-9173
06240	所	CJK UNIFIED IDEOGRAPH-6240
0760b	瘋	CJK UNIFIED IDEOGRAPH-760B
091b8	醸	CJK UNIFIED IDEOGRAPH-91B8
091ab	醫	CJK UNIFIED IDEOGRAPH-91AB
057a2	垢	CJK UNIFIED IDEOGRAPH-57A2
08523	蔣	CJK UNIFIED IDEOGRAPH-8523
082bd	芽	CJK UNIFIED IDEOGRAPH-82BD
05761	坡	CJK UNIFIED IDEOGRAPH-5761
06268	扨	CJK UNIFIED IDEOGRAPH-6268
0625b	扛	CJK UNIFIED IDEOGRAPH-625B
0916a	酪	CJK UNIFIED IDEOGRAPH-916A
096f6	零	CJK UNIFIED IDEOGRAPH-96F6
076fe	盾	CJK UNIFIED IDEOGRAPH-76FE
07162	煢	CJK UNIFIED IDEOGRAPH-7162
071c9	燉	CJK UNIFIED IDEOGRAPH-71C9
091a4	醤	CJK UNIFIED IDEOGRAPH-91A4
0961c	阜	CJK UNIFIED IDEOGRAPH-961C
06ea2	溢	CJK UNIFIED IDEOGRAPH-6EA2
07a31	稱	CJK UNIFIED IDEOGRAPH-7A31
08b02	謂	CJK UNIFIED IDEOGRAPH-8B02
08e64	蹤	CJK UNIFIED IDEOGRAPH-8E64
078ef	磯	CJK UNIFIED IDEOGRAPH-78EF
06297	抗	CJK UNIFIED IDEOGRAPH-6297
0829d	芝	CJK UNIFIED IDEOGRAPH-829D
07add	竝	CJK UNIFIED IDEOGRAPH-7ADD
09ae3	髣	CJK UNIFIED IDEOGRAPH-9AE3
06283	抃	CJK UNIFIED IDEOGRAPH-6283
06b0a	權	CJK UNIFIED IDEOGRAPH-6B0A
08eaa	躪	CJK UNIFIED IDEOGRAPH-8EAA
07fa8	羨	CJK UNIFIED IDEOGRAPH-7FA8
0983d	頽	CJK UNIFIED IDEOGRAPH-983D
08b16	謖	CJK UNIFIED IDEOGRAPH-8B16
0783a	砺	CJK UNIFIED IDEOGRAPH-783A
07ae6	竦	CJK UNIFIED IDEOGRAPH-7AE6
06bd8	毘	CJK UNIFIED IDEOGRAPH-6BD8
07f4e	罎	CJK UNIFIED IDEOGRAPH-7F4E
07ad2	竒	CJK UNIFIED IDEOGRAPH-7AD2
08292	芒	CJK UNIFIED IDEOGRAPH-8292
09aee	髮	CJK UNIFIED IDEOGRAPH-9AEE
078d4	磔	CJK UNIFIED IDEOGRAPH-78D4
09f52	齒	CJK UNIFIED IDEOGRAPH-9F52
07a19	稙	CJK UNIFIED IDEOGRAPH-7A19
07827	砧	CJK UNIFIED IDEOGRAPH-7827
08e74	蹴	CJK UNIFIED IDEOGRAPH-8E74
07199	熙	CJK UNIFIED IDEOGRAPH-7199
06293	抓	CJK UNIFIED IDEOGRAPH-6293
09ad3	髓	CJK UNIFIED IDEOGRAPH-9AD3
08e60	蹠	CJK UNIFIED IDEOGRAPH-8E60
07aed	竭	CJK UNIFIED IDEOGRAPH-7AED
0828d	芍	CJK UNIFIED IDEOGRAPH-828D
0982d	頭	CJK UNIFIED IDEOGRAPH-982D
09a2b	騫	CJK UNIFIED IDEOGRAPH-9A2B
08b1d	謝	CJK UNIFIED IDEOGRAPH-8B1D
09a30	騰	CJK UNIFIED IDEOGRAPH-9A30
078d0	磐	CJK UNIFIED IDEOGRAPH-78D0
09aea	髪	CJK UNIFIED IDEOGRAPH-9AEA
0628a	把	CJK UNIFIED IDEOGRAPH-628A
08e48	蹈	CJK UNIFIED IDEOGRAPH-8E48
09ade	髞	CJK UNIFIED IDEOGRAPH-9ADE
0629e	択	CJK UNIFIED IDEOGRAPH-629E
07ae2	竢	CJK UNIFIED IDEOGRAPH-7AE2
098dc	飜	CJK UNIFIED IDEOGRAPH-98DC
07a3c	稼	CJK UNIFIED IDEOGRAPH-7A3C
0501a	倚	CJK UNIFIED IDEOGRAPH-501A
091af	醯	CJK UNIFIED IDEOGRAPH-91AF
085e4	藤	CJK UNIFIED IDEOGRAPH-85E4
09177	酷	CJK UNIFIED IDEOGRAPH-9177
09f9c	龜	CJK UNIFIED IDEOGRAPH-9F9C
05981	妁	CJK UNIFIED IDEOGRAPH-5981
085d0	藐	CJK UNIFIED IDEOGRAPH-85D0
0717d	煽	CJK UNIFIED IDEOGRAPH-717D
09163	酣	CJK UNIFIED IDEOGRAPH-9163
091c8	釈	CJK UNIFIED IDEOGRAPH-91C8
062ca	拊	CJK UNIFIED IDEOGRAPH-62CA
06536	收	CJK UNIFIED IDEOGRAPH-6536
07166	煦	CJK UNIFIED IDEOGRAPH-7166
09f95	龕	CJK UNIFIED IDEOGRAPH-9F95
065e1	旡	CJK UNIFIED IDEOGRAPH-65E1
096f2	雲	CJK UNIFIED IDEOGRAPH-96F2
050fb	僻	CJK UNIFIED IDEOGRAPH-50FB
062c7	拇	CJK UNIFIED IDEOGRAPH-62C7
071ac	熬	CJK UNIFIED IDEOGRAPH-71AC
071b9	熹	CJK UNIFIED IDEOGRAPH-71B9
0809b	肛	CJK UNIFIED IDEOGRAPH-809B
07d45	絅	CJK UNIFIED IDEOGRAPH-7D45
09ce5	鳥	CJK UNIFIED IDEOGRAPH-9CE5
05bcc	富	CJK UNIFIED IDEOGRAPH-5BCC
07c23	簣	CJK UNIFIED IDEOGRAPH-7C23
07dbd	綽	CJK UNIFIED IDEOGRAPH-7DBD
08902	褂	CJK UNIFIED IDEOGRAPH-8902
07c37	簷	CJK UNIFIED IDEOGRAPH-7C37
04f0d	伍	CJK UNIFIED IDEOGRAPH-4F0D
05598	喘	CJK UNIFIED IDEOGRAPH-5598
05eda	廚	CJK UNIFIED IDEOGRAPH-5EDA
04ff5	俵	CJK UNIFIED IDEOGRAPH-4FF5
07cef	糯	CJK UNIFIED IDEOGRAPH-7CEF
05ee3	廣	CJK UNIFIED IDEOGRAPH-5EE3
05b5d	孝	CJK UNIFIED IDEOGRAPH-5B5D
069ff	槿	CJK UNIFIED IDEOGRAPH-69FF
07d79	絹	CJK UNIFIED IDEOGRAPH-7D79
07d4c	経	CJK UNIFIED IDEOGRAPH-7D4C
0608c	悌	CJK UNIFIED IDEOGRAPH-608C
09cec	鳬	CJK UNIFIED IDEOGRAPH-9CEC
09c32	鰲	CJK UNIFIED IDEOGRAPH-9C32
07db2	網	CJK UNIFIED IDEOGRAPH-7DB2
05bc5	寅	CJK UNIFIED IDEOGRAPH-5BC5
05e2f	帯	CJK UNIFIED IDEOGRAPH-5E2F
09dba	鶺	CJK UNIFIED IDEOGRAPH-9DBA
07ce0	糠	CJK UNIFIED IDEOGRAPH-7CE0
069d8	様	CJK UNIFIED IDEOGRAPH-69D8
0557e	啾	CJK UNIFIED IDEOGRAPH-557E
067da	柚	CJK UNIFIED IDEOGRAPH-67DA
09d9a	鶚	CJK UNIFIED IDEOGRAPH-9D9A
09375	鍵	CJK UNIFIED IDEOGRAPH-9375
06046	恆	CJK UNIFIED IDEOGRAPH-6046
0805a	聚	CJK UNIFIED IDEOGRAPH-805A
09413	鐓	CJK UNIFIED IDEOGRAPH-9413
093ad	鎭	CJK UNIFIED IDEOGRAPH-93AD
05229	利	CJK UNIFIED IDEOGRAPH-5229
080b4	肴	CJK UNIFIED IDEOGRAPH-80B4
09407	鐇	CJK UNIFIED IDEOGRAPH-9407
06734	朴	CJK UNIFIED IDEOGRAPH-6734
067ee	柮	CJK UNIFIED IDEOGRAPH-67EE
06052	恒	CJK UNIFIED IDEOGRAPH-6052
087d2	蟒	CJK UNIFIED IDEOGRAPH-87D2
05b85	宅	CJK UNIFIED IDEOGRAPH-5B85
0937c	鍼	CJK UNIFIED IDEOGRAPH-937C
074e9	瓩	CJK UNIFIED IDEOGRAPH-74E9
055ab	喫	CJK UNIFIED IDEOGRAPH-55AB
08725	蜥	CJK UNIFIED IDEOGRAPH-8725
060c5	情	CJK UNIFIED IDEOGRAPH-60C5
05b8c	完	CJK UNIFIED IDEOGRAPH-5B8C
07370	獰	CJK UNIFIED IDEOGRAPH-7370
06aa2	檢	CJK UNIFIED IDEOGRAPH-6AA2
07e31	縱	CJK UNIFIED IDEOGRAPH-7E31
07bcf	篏	CJK UNIFIED IDEOGRAPH-7BCF
05dba	嶺	CJK UNIFIED IDEOGRAPH-5DBA
08fe9	迩	CJK UNIFIED IDEOGRAPH-8FE9
07589	疉	CJK UNIFIED IDEOGRAPH-7589
0687e	桾	CJK UNIFIED IDEOGRAPH-687E
08862	衢	CJK UNIFIED IDEOGRAPH-8862
06697	暗	CJK UNIFIED IDEOGRAPH-6697
08a70	詰	CJK UNIFIED IDEOGRAPH-8A70
06683	暃	CJK UNIFIED IDEOGRAPH-6683
05db7	嶷	CJK UNIFIED IDEOGRAPH-5DB7
